,home_runs,player_name,total_pitches,pitch_percent,xwoba,xba,launch_speed,launch_angle,spin_rate,velocity,effective_speed,release_extension
446,1,Jesus Sucre,673,0.1,0.7559999999999999,0.48700000000000004,98.4,25.0,1859.0,79.2,79.5,6.5
447,1,Ildemaro Vargas,58,1.7,1.34,0.763,101.7,25.0,2237.0,92.5,92.2,6.5
450,1,Nolan Fontana,47,2.1,0.909,0.5660000000000001,99.4,25.0,2353.0,92.1,92.9,6.3
452,1,Brent Suter,106,0.9,1.4140000000000001,0.7240000000000001,102.2,29.0,2113.0,88.8,88.0,6.1
453,1,Jake Arrieta,206,0.5,0.813,0.42100000000000004,100.8,35.0,2063.0,90.6,91.1,6.3
454,1,Brandon Woodruff,30,3.3,1.482,0.753,102.4,28.0,2286.0,91.5,90.0,5.2
455,1,Brandon Phillips,112,0.9,1.9769999999999999,0.9790000000000001,108.5,30.0,2187.0,95.2,95.2,6.1
457,1,Adam Moore,69,1.4,1.844,0.9259999999999999,105.1,27.0,2090.0,82.0,80.5,5.1
459,1,Chris Shaw,224,0.4,1.982,0.9790000000000001,108.3,26.0,2268.0,85.8,85.4,5.4
461,1,Christian Arroyo,228,0.4,0.813,0.42100000000000004,101.3,35.0,2459.0,87.0,86.1,6.0
462,1,Shane Robinson,202,0.5,1.149,0.629,99.5,29.0,2141.0,92.5,91.8,5.9
463,1,Brandon Drury,336,0.3,1.0759999999999998,0.65,101.4,24.0,2770.0,86.5,85.2,5.5
465,1,Socrates Brito,175,0.6,0.8590000000000001,0.595,100.0,24.0,1696.0,85.6,85.4,5.9
466,1,Juan Centeno,144,0.7,0.752,0.47100000000000003,97.7,26.0,2262.0,92.6,93.0,6.3
468,1,Myles Straw,40,2.5,0.746,0.413,98.0,29.0,2344.0,93.8,94.2,6.6
469,1,Jett Bandy,288,0.3,0.868,0.4,99.0,31.0,1921.0,91.7,91.1,6.0
471,1,Jon Lester,247,0.4,1.3419999999999999,0.81,102.8,23.0,2272.0,95.5,96.4,6.3
473,1,Yandy Diaz,470,0.2,1.149,0.629,99.8,29.0,2023.4443347869524,81.5,80.0,5.2
474,1,Taylor Motter,150,0.7,1.865,0.95,105.5,26.0,1918.0,89.3,89.3,6.5
476,1,Colby Rasmus,198,0.5,1.055,0.526,101.3,33.0,2507.0,94.7,93.4,5.8
477,1,Cole Hamels,99,1.0,1.775,0.9259999999999999,105.0,25.0,2236.0,94.7,94.9,6.1
478,1,Craig Gentry,649,0.2,1.27,0.695,101.1,27.0,2188.0,87.3,87.5,6.3
479,1,Tim Federowicz,195,0.5,1.58,0.826,102.8,29.0,2092.0,92.4,92.9,6.4
480,1,Ben Gamel,1193,0.1,1.2309999999999999,0.81,105.0,21.0,2629.0,84.3,83.0,5.6
481,1,Tomas Nido,318,0.3,1.111,0.703,101.9,23.0,1800.0,87.4,87.5,6.4
482,1,J.D. Davis,424,0.2,0.948,0.47600000000000003,106.9,40.0,2563.0,94.4,93.4,5.9
483,1,Tommy La Stella,725,0.1,1.4140000000000001,0.703,102.1,30.0,2215.0,94.8,94.3,6.0
485,1,Tony Cruz,92,1.1,1.8980000000000001,0.94,105.8,28.0,2278.0,92.3,92.5,6.1
487,1,Michael Hermosillo,252,0.4,1.99,0.987,108.8,25.0,2364.0,88.1,87.3,5.6
488,1,Travis d'Arnaud,57,1.8,1.4069999999999998,0.884,107.9,20.0,2061.0,92.8,93.2,6.7
489,1,Adam Rosales,64,1.6,1.215,0.732,101.6,24.0,2304.0,88.2,87.0,5.4
490,1,Austin Slater,923,0.1,1.775,0.9259999999999999,105.0,25.0,2330.0,95.4,94.0,6.0
491,1,David Fletcher,1175,0.1,0.9109999999999999,0.524,98.9,26.0,1923.0,91.2,90.3,5.8
492,1,David Freitas,411,0.2,1.055,0.526,101.3,33.0,2184.0,92.0,90.1,5.5
